"sp","protocol","lat","lon","date","count"
"rubl","ebird",36.06766,-94.2332125,2014-03-18,"2"
"rubl","ebird",36.0525,-94.0654,2014-03-15,"3"
"rubl","ebird",35.2501716,-91.5827289,2014-03-27,"40"
"rubl","ebird",35.090698,-93.0511093,2014-03-05,"18"
"rubl","ebird",41.2020516,-73.2937431,2014-03-16,"2"
"rubl","ebird",41.2426,-73.18566,2014-03-18,"5"
"rubl","ebird",41.2426,-73.18566,2014-03-19,"1"
"rubl","ebird",41.2426,-73.18566,2014-03-20,"5"
"rubl","ebird",41.9093357,-72.6790452,2014-03-11,"1"
"rubl","ebird",42.0062447,-72.5783539,2014-03-23,"1"
"rubl","ebird",41.5937913,-72.8160632,2014-03-13,"3"
"rubl","ebird",41.5937913,-72.8160632,2014-03-14,"1"
"rubl","ebird",41.7658063,-72.6379967,2014-03-28,"5"
"rubl","ebird",41.7711451,-72.8536811,2014-03-28,"25"
"rubl","ebird",41.5937913,-72.8160632,2014-03-02,"3"
"rubl","ebird",41.5937913,-72.8160632,2014-03-16,"2"
"rubl","ebird",41.8098,-72.83064,2014-03-29,"5"
"rubl","ebird",41.8098,-72.83064,2014-03-29,"5"
"rubl","blitz",41.775,-72.601,2014-03-29,"1"
"rubl","ebird",41.789508,-72.833833,2014-03-20,"5"
"rubl","ebird",41.6542527,-73.1973553,2014-03-31,"3"
"rubl","ebird",41.8403449,-73.0187416,2014-03-20,"7"
"rubl","ebird",41.8403449,-73.0187416,2014-03-22,"2"
"rubl","ebird",41.8573066,-73.0920968,2014-03-21,"1"
"rubl","blitz",41.7332765,-73.1986856,2014-03-28,"24"
"rubl","ebird",41.655196,-73.197483,2014-03-27,"2"
"rubl","blitz",41.7332765,-73.1986856,2014-03-28,"24"
"rubl","ebird",41.5901549,-73.1240559,2014-03-21,"1"
"rubl","ebird",41.5294311,-73.2272887,2014-03-18,"2"
"rubl","ebird",41.5294311,-73.2272887,2014-03-27,"15"
"rubl","ebird",41.5294311,-73.2272887,2014-03-29,"25"
"rubl","ebird",41.5294311,-73.2272887,2014-03-30,"20"
"rubl","ebird",41.5045279,-72.3869848,2014-03-27,"8"
"rubl","blitz",41.3550198,-72.9163456,2014-03-22,"4"
"rubl","blitz",41.3550198,-72.9163456,2014-03-22,"3"
"rubl","blitz",41.3550198,-72.9163456,2014-03-22,"1"
"rubl","blitz",41.3550198,-72.9163456,2014-03-23,"5"
"rubl","ebird",41.3540533,-72.913084,2014-03-23,"2"
"rubl","ebird",41.3636041,-72.9166889,2014-03-23,"2"
"rubl","ebird",41.3550198,-72.9163456,2014-03-12,"3"
"rubl","blitz",41.3550198,-72.9163456,2014-03-24,"10"
"rubl","ebird",41.288732,-72.585225,2014-03-14,"1"
"rubl","blitz",41.3550198,-72.9163456,2014-03-26,"4"
"rubl","ebird",41.3550198,-72.9163456,2014-03-01,"4"
"rubl","blitz",41.3550198,-72.9163456,2014-03-28,"2"
"rubl","blitz",41.3550198,-72.9163456,2014-03-27,"12"
"rubl","ebird",41.3550198,-72.9163456,2014-03-03,"15"
"rubl","blitz",41.3376115,-73.0454457,2014-03-14,"22"
"rubl","ebird",41.4595266,-72.9196887,2014-03-02,"27"
"rubl","blitz",41.3550198,-72.9163456,2014-03-17,"4"
"rubl","blitz",41.3550198,-72.9163456,2014-03-17,"6"
"rubl","blitz",41.3550198,-72.9163456,2014-03-15,"4"
"rubl","blitz",41.3550198,-72.9163456,2014-03-16,"3"
"rubl","blitz",41.3550198,-72.9163456,2014-03-29,"1"
"rubl","ebird",41.3550198,-72.9163456,2014-03-05,"14"
"rubl","blitz",41.3550198,-72.9163456,2014-03-30,"1"
"rubl","ebird",41.3550198,-72.9163456,2014-03-07,"5"
"rubl","blitz",41.3550198,-72.9163456,2014-03-31,"3"
"rubl","ebird",41.4578893,-73.1637563,2014-03-20,"1"
"rubl","ebird",41.4595266,-72.9196887,2014-03-30,"2"
"rubl","ebird",41.4595266,-72.9196887,2014-03-07,"24"
