"sp","protocol","lat","lon","date","count"
"rubl","ebird",32.562,-93.812,2009-01-19,"5"
"rubl","ebird",32.562,-93.812,2009-01-29,"6"
"rubl","ebird",32.437,-93.687,2009-01-11,"3"
"rubl","ebird",32.437,-93.687,2009-01-18,"1"
"rubl","ebird",31.937,-91.937,2009-01-18,"30"
"rubl","ebird",32.752416,-93.0604649,2009-01-03,"2"
"rubl","ebird",32.937,-92.937,2009-01-18,"1"
"rubl","ebird",32.937,-92.812,2009-01-11,"26"
"rubl","ebird",32.812,-93.062,2009-01-11,"16"
"rubl","ebird",31.6253212,-91.7578125,2009-01-21,"11"
"rubl","ebird",31.6253212,-91.7578125,2009-01-17,"5"
"rubl","ebird",31.41737,-91.58152,2009-01-30,"30"
"rubl","ebird",31.6253212,-91.7578125,2009-01-29,"2"
"rubl","ebird",31.687,-91.437,2009-01-25,"9"
"rubl","ebird",31.937,-93.937,2009-01-28,"450"
"rubl","ebird",32.687,-91.187,2009-01-25,"46"
"rubl","ebird",32.9337761,-91.2194824,2009-01-25,"42"
"rubl","ebird",30.312,-91.062,2009-01-31,"1"
"rubl","ebird",30.312,-91.062,2009-01-31,"1"
"rubl","ebird",30.187,-92.062,2009-01-11,"8"
"rubl","ebird",32.687,-91.812,2009-01-19,"1"
"rubl","ebird",31.812,-93.187,2009-01-17,"5"
"rubl","ebird",31.312,-92.812,2009-01-30,"65"
"rubl","ebird",30.062,-90.562,2009-01-23,"5"
"rubl","ebird",30.437,-91.687,2009-01-15,"3"
"rubl","ebird",30.437,-91.687,2009-01-11,"2"
"rubl","ebird",30.187,-89.687,2009-01-14,"18"
"rubl","ebird",30.312,-90.062,2009-01-30,"3"
"rubl","ebird",30.437,-90.062,2009-01-31,"10"
"rubl","ebird",30.437,-90.062,2009-01-31,"10"
"rubl","ebird",32.687,-93.312,2009-01-16,"12"
"rubl","ebird",32.937,-93.437,2009-01-15,"110"
"rubl","ebird",32.937,-93.437,2009-01-15,"110"
"rubl","ebird",32.687,-93.187,2009-01-21,"22"
"rubl","ebird",32.687,-93.312,2009-01-17,"24"
"rubl","ebird",32.437,-93.437,2009-01-31,"21"
"rubl","ebird",32.437,-93.437,2009-01-20,"200"
"rubl","ebird",42.2834,-71.3495,2009-01-14,"1"
"rubl","ebird",42.5109335,-71.6334373,2009-01-29,"7"
"rubl","ebird",38.78,-76.709,2009-01-08,"4"
"rubl","ebird",39.1134132,-76.8088531,2009-01-23,"1"
"rubl","ebird",39.0803767,-77.4035096,2009-01-17,"2"
"rubl","ebird",39.0830389,-77.3945618,2009-01-30,"2"
"rubl","ebird",39.0803767,-77.4035096,2009-01-30,"3"
"rubl","ebird",39.0803767,-77.4035096,2009-01-25,"6"
"rubl","ebird",38.7806261,-76.7177439,2009-01-01,"X"
"rubl","ebird",38.7526149,-76.6997999,2009-01-22,"2"
"rubl","ebird",38.0386657,-75.6616777,2009-01-03,"1"
"rubl","ebird",38.0386657,-75.6616777,2009-01-03,"1"
"rubl","ebird",38.0386657,-75.6616777,2009-01-03,"1"
"rubl","ebird",38.0386657,-75.6616777,2009-01-03,"1"
"rubl","ebird",38.0386657,-75.6616777,2009-01-15,"2"
"rubl","ebird",42.1063004,-83.3179016,2009-01-31,"1"
"rubl","ebird",37.2521938,-93.1599426,2009-01-11,"2"
"rubl","ebird",37.0298287,-94.5208311,2009-01-04,"8"
"rubl","ebird",36.7971205,-89.9686289,2009-01-09,"1"
"rubl","ebird",32.3300778,-90.147543,2009-01-31,"12"
"rubl","ebird",32.3300778,-90.147543,2009-01-25,"3"
"rubl","ebird",30.7065528,-88.6646722,2009-01-25,"70"
"rubl","ebird",30.6828506,-88.6612166,2009-01-29,"7"
"rubl","ebird",30.7073479,-88.6666063,2009-01-25,"25"
"rubl","ebird",33.087242,-91.0529469,2009-01-04,"5"
"rubl","ebird",34.0994387,-78.0257607,2009-01-03,"25"
"rubl","ebird",34.2064076,-77.9641342,2009-01-03,"12"
"rubl","ebird",33.9205715,-78.0056763,2009-01-04,"45"
"rubl","ebird",34.7706197,-76.9332328,2009-01-25,"6"
"rubl","ebird",35.7145802,-79.0365243,2009-01-03,"6"
"rubl","ebird",36.1266446,-80.2826786,2009-01-03,"1"
"rubl","ebird",35.2935511,-81.0162735,2009-01-05,"25"
"rubl","ebird",35.2935511,-81.0162735,2009-01-10,"15"
"rubl","ebird",35.2935511,-81.0162735,2009-01-23,"1"
"rubl","ebird",35.2935511,-81.0162735,2009-01-30,"1"
"rubl","ebird",35.459785,-76.19871,2009-01-31,"8"
"rubl","ebird",35.0772477,-80.823369,2009-01-25,"20"
"rubl","ebird",34.9632182,-80.3985071,2009-01-27,"2"
"rubl","ebird",41.0364972,-74.1271909,2009-01-05,"2"
"rubl","ebird",40.7903099,-74.0972418,2009-01-17,"2"
"rubl","ebird",40.029401,-74.991565,2009-01-04,"1"
"rubl","ebird",39.0015934,-74.9446321,2009-01-25,"22"
"rubl","ebird",39.0015934,-74.9446321,2009-01-25,"22"
"rubl","ebird",38.9338272,-74.9550854,2009-01-25,"4"
"rubl","ebird",39.0015934,-74.9446321,2009-01-04,"50"
"rubl","ebird",39.0015934,-74.9446321,2009-01-08,"20"
"rubl","ebird",39.0015934,-74.9446321,2009-01-04,"30"
"rubl","ebird",39.0015934,-74.9446321,2009-01-04,"3"
"rubl","ebird",38.9417118,-74.9477327,2009-01-02,"1"
"rubl","ebird",38.9462395,-74.9412079,2009-01-01,"13"
"rubl","ebird",39.0015934,-74.9446321,2009-01-02,"50"
"rubl","ebird",38.9438397,-74.9374545,2009-01-16,"5"
"rubl","ebird",39.0015934,-74.9446321,2009-01-15,"50"
"rubl","ebird",38.9438397,-74.9374545,2009-01-15,"10"
"rubl","ebird",39.0015934,-74.9446321,2009-01-12,"X"
"rubl","ebird",39.0015934,-74.9446321,2009-01-24,"X"
"rubl","ebird",39.0015934,-74.9446321,2009-01-19,"50"
"rubl","ebird",38.94018,-74.93539,2009-01-23,"6"
"rubl","ebird",39.0015934,-74.9446321,2009-01-18,"20"
"rubl","ebird",39.0015934,-74.9446321,2009-01-20,"30"
"rubl","ebird",39.0015934,-74.9446321,2009-01-17,"50"
"rubl","ebird",39.0015934,-74.9446321,2009-01-31,"50"
